num__SibSp,num__Parch,num__Fare,cat__Sex_female,cat__Sex_male,cat__Embarked_C,cat__Embarked_Q,cat__Embarked_S,cat__Title_Master,cat__Title_Miss,cat__Title_Mr,cat__Title_Mrs,cat__Title_Rare,age__Age,pclass__Pclass,Survived
0.0,0.0,1.8196518381939217,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1
0.0,0.0,-0.6256091965962899,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0
0.0,0.0,8.973476683892972,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.0,1.0,-0.22092087152985174,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.75,3.0,1
1.0,1.0,0.5105478657560097,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.17857142857142858,2.0,1
0.0,0.0,-0.2605976402558843,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5357142857142857,3.0,0
0.0,0.0,1.8196518381939217,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.17857142857142858,3.0,1
0.0,0.0,9.222167398135404,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.0,0.0,-0.2901723496160871,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1
1.0,0.0,0.15346993187385843,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.17857142857142858,3.0,0
0.0,0.0,0.9109079734420582,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9642857142857142,1.0,1
1.0,0.0,-0.20036183897300064,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5357142857142857,3.0,0
8.0,2.0,2.384665991464755,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0
0.0,0.0,0.5235325178971789,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9642857142857142,1.0,0
0.0,0.0,-0.2880082409258923,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5357142857142857,3.0,0
1.0,0.0,3.269786445754452,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32142857142857145,1.0,1
0.0,0.0,-0.29089516191861226,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5357142857142857,3.0,0
0.0,0.0,-0.3118134365180357,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0
0.0,0.0,-0.34643917556115345,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0357142857142858,3.0,0
3.0,1.0,0.4766449390154171,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0
1.0,0.0,0.07123380164645395,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10714285714285714,3.0,0
0.0,0.0,2.676461422598489,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,1.0,1
0.0,0.0,2.802338968672363,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,0.0,-0.17114637165537003,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6785714285714286,2.0,1
0.0,0.0,-0.28386180867547894,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.32142857142857145,3.0,0
0.0,0.0,-0.041299850243678646,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1785714285714286,2.0,1
0.0,0.0,-0.28386180867547894,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.39285714285714285,3.0,0
0.0,1.0,-0.2618571515135777,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9642857142857143,3.0,0
1.0,1.0,2.9736627972403284,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.0,1
0.0,0.0,-0.27718769747491795,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.8928571428571429,3.0,1
0.0,0.0,-0.28386180867547894,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0
0.0,0.0,-0.17114637165537003,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.6785714285714284,2.0,0
0.0,0.0,0.5235325178971789,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.03571428571428571,1.0,1
0.0,0.0,-0.08349996970247833,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.6071428571428572,2.0,0
0.0,0.0,0.023623410462167045,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.3214285714285714,2.0,0
0.0,0.0,-0.27718769747491795,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.75,3.0,1
0.0,0.0,-0.06294093714562721,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5357142857142857,2.0,0
0.0,0.0,-0.06294093714562721,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.10714285714285714,2.0,1
1.0,1.0,0.6295738437167269,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4642857142857143,2.0,1
0.0,0.0,-0.2901723496160871,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0
